target,INCOME_TYPE,EDUCATION_,CUSTOMER_CATEGORY_,income,DEPENDANT_NUMBER,IS_EMPL,COUNT_ACTIVE_CREDIT_NO_CC,CNT_MNTH_FROM_LAST_PMNT,age,experience,inquiry_14_day,inquiry_21_day,count_mnth_act_passport,UID
0,OTHER,elementary,,60000,0,0,0,62.697827061,34.709589041,2.6630136986,,,6.0410958904,273
0,OTHER,advanced,,65000,0,0,1,-1,40.925645632,21.204334157,1,1,13.021274047,274
0,OTHER,beginner,Corporate,176109,0,1,3,0.695766129,28.669398907,7.170589116,1,1,7.9672131148,285
0,OTHER,elementary,Corporate,55371,0,1,1,0.570766129,25.390620555,0.6700726102,0,0,5.3577438431,294
0,OTHER,advanced,Corporate,22482,0,1,0,15.310909498,41.985867206,7.4180327869,0,0,1.2954562467,296
0,OTHER,high,Corporate,31007,0,1,0,21.407078853,47.715629912,0.3797814208,0,0,2.6443970357,311
0,OTHER,elementary,Corporate,113462,0,1,1,0.6332437276,50.142465753,5.2136986301,0,0,4.8858297777,317
0,OTHER,elementary,Corporate,18328,0,1,0,,31.133243506,0.8565311775,0,0,9.9770791227,329
0,OTHER,advanced,Corporate,62389,0,0,1,0.28125,48.235616438,7.6328767123,1,3,3.2,331
0,OTHER,elementary,Corporate,77647,0,1,1,3.3453629032,33.417830676,10.406871772,0,0,9.5602964294,334
0,OTHER,advanced,Corporate,15461,0,1,1,1.9888664875,28.535983232,1.7003667939,0,0,4.6455722734,337
0,OTHER,elementary,Corporate,212264,0,1,0,0.2512992832,29.732899169,3.1904334157,1,1,9.4287895801,342
0,2NDFL,elementary,Corporate,77608,0,0,1,0.4450268817,30.624657534,0.705224942,1,1,10.189041096,350
0,OTHER,elementary,Corporate,105790,0,1,,,47.221311475,0.9970207351,,,2.1148289543,352
0,OTHER,advanced,Corporate,16704,0,1,0,24.570564516,47.302253163,3.7677595628,0,0,2.2091024777,357
0,OTHER,elementary,VIP,210000,0,0,,,37.242593008,8.0301369863,,,11.224657534,358
0,OTHER,elementary,Corporate,201278,0,1,1,0.317405914,45.868493151,4.0246575342,1,1,0.8427951194,363
0,OTHER,elementary,,100000,0,0,1,0.5659498208,38.019178082,6.2767123288,0,0,6.3232876712,369
0,OTHER,elementary,Corporate,35761,0,1,,,29.170461861,1.0802979265,,,6.7205479452,371
